freq,unit,airpol,src_crf,geo\TIME_PERIOD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,MIO_T,CH4,CRF1,AT,0.05442,0.0497,0.04877,0.04635,0.03954,0.04043,0.03945,0.03697,0.03624,0.0364,0.03595,0.03662,0.0354,0.0352,0.03376,0.03252,0.03323,0.03302,0.03265,0.03272,0.03425,0.03283,0.03359,0.03324,0.03093,0.03087,0.03084,0.03199,0.02887,0.02811,0.02726,0.02873,0.02657,0.02694,0.0264
A,MIO_T,CH4,CRF1,BE,0.05939,0.05471,0.04767,0.04917,0.04371,0.04309,0.04312,0.03978,0.03773,0.03711,0.03608,0.03613,0.03362,0.03344,0.03403,0.03346,0.03368,0.0335,0.03459,0.03575,0.04004,0.03491,0.03435,0.0356,0.03119,0.0336,0.03342,0.03254,0.03197,0.03242,0.03087,0.03251,0.0287,0.02924,0.02843
A,MIO_T,CH4,CRF1,BG,0.09989,0.08456,0.09399,0.09496,0.08775,0.08998,0.08994,0.08172,0.07306,0.06019,0.06352,0.05766,0.07085,0.07798,0.06039,0.06069,0.05637,0.06019,0.06061,0.05883,0.06267,0.073,0.06718,0.05979,0.05959,0.0647,0.06125,0.0659,0.06,0.05644,0.05303,0.05795,0.06133,0.04673,0.0394
A,MIO_T,CH4,CRF1,CH,0.01529,0.01563,0.01496,0.01415,0.01324,0.01309,0.01313,0.01221,0.01208,0.01174,0.01103,0.01099,0.01033,0.0103,0.01006,0.00985,0.00941,0.00872,0.00872,0.00833,0.00891,0.00766,0.00721,0.00715,0.00611,0.00606,0.00601,0.00591,0.00542,0.00527,0.00495,0.00514,0.00455,0.0044,0.0043
A,MIO_T,CH4,CRF1,CY,0.00051,0.00052,0.00052,0.00052,0.00054,0.00056,0.00057,0.00056,0.00058,0.00058,0.00057,0.00056,0.00057,0.00059,0.00057,0.00057,0.00057,0.00061,0.00067,0.00071,0.00062,0.00063,0.00063,0.00056,0.00053,0.00065,0.00067,0.00074,0.00074,0.00077,0.00075,0.00076,0.00079,0.00072,0.00071
A,MIO_T,CH4,CRF1,CZ,0.42577,0.38868,0.35849,0.37153,0.35352,0.34606,0.34582,0.33481,0.3181,0.28864,0.24749,0.2192,0.21242,0.20739,0.19932,0.21632,0.22348,0.20638,0.20537,0.18302,0.17191,0.16721,0.16255,0.14112,0.142,0.1382,0.12479,0.11603,0.10924,0.10027,0.08079,0.08599,0.07853,0.06608,0.06282
A,MIO_T,CH4,CRF1,DE,1.64974,1.54787,1.415,1.45226,1.31105,1.26037,1.21327,1.1851,1.07281,1.1124,1.03627,0.94124,0.8877,0.81843,0.7064,0.63409,0.56906,0.52545,0.51868,0.4644,0.47036,0.45339,0.49007,0.46217,0.41444,0.41759,0.38444,0.37453,0.32691,0.25636,0.24621,0.24743,0.23857,0.22336,0.22325
A,MIO_T,CH4,CRF1,DK,0.02285,0.0268,0.02793,0.0303,0.03385,0.03934,0.04419,0.04611,0.04743,0.0501,0.0479,0.04825,0.04732,0.04548,0.04572,0.04287,0.04013,0.03733,0.03557,0.0309,0.03331,0.02805,0.02333,0.02164,0.0189,0.01816,0.0183,0.01815,0.0171,0.01609,0.01289,0.01374,0.01212,0.01142,0.01117
A,MIO_T,CH4,CRF1,EE,0.00636,0.00629,0.00363,0.00253,0.00287,0.00326,0.00378,0.00357,0.00307,0.003,0.00302,0.00314,0.00286,0.00289,0.00317,0.00311,0.00307,0.00305,0.00297,0.00244,0.00261,0.00249,0.0026,0.00246,0.0022,0.00203,0.00214,0.0021,0.00214,0.0021,0.00205,0.00227,0.00203,0.00193,0.00203
A,MIO_T,CH4,CRF1,EL,0.06167,0.06248,0.06434,0.06391,0.06539,0.06626,0.06833,0.06778,0.0702,0.07117,0.07363,0.07575,0.07929,0.07754,0.07933,0.079,0.07499,0.07756,0.07509,0.07284,0.06626,0.07071,0.07564,0.0654,0.06167,0.05834,0.04538,0.05088,0.04901,0.0409,0.02851,0.02839,0.02941,0.02642,0.02169
